property_name,property_type,baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,name,sold_date,sold_price,sqft,stories,sub_type,type,year_built,is_foreclosure,is_price_reduced,is_new_listing,is_new_construction,price_reduced_amount,property_id,list_price,listing_id,list_date,street_address,city,state,country,county_name,postal_code,latitude,longitude
Bravo International Real Estate Llc,Office,1.0,,,1.0,,1.0,,871.0,,2024-01-10,68000.0,710.0,,condo,condos,1967.0,,,False,,,5654985447,89000.0,2961817372,2023-11-18T15:26:23.000000Z,2020 Continental Ave Apt 132,Tallahassee,FL,,Leon,32304,30.456399,-84.315908
The Nova Group Realty,Office,3.0,,,2.0,1.0,4.0,3.0,23087.0,,2024-01-10,810000.0,2670.0,1.0,,single_family,2020.0,,,False,,,9922392645,815000.0,2962195433,2023-12-03T02:16:23.000000Z,3106 Persimmon Dr,Tallahassee,FL,,Leon,32312,30.553851,-84.225427
Red Bird Realty Of Greater Tal,Office,2.0,,,2.0,,2.0,,7841.0,,2024-01-10,194900.0,960.0,2.0,townhouse,townhomes,1988.0,,,False,,,6106004175,194900.0,2962010115,2023-11-28T19:12:05.000000Z,252 E Whetherbine Way,Tallahassee,FL,,Leon,32301,30.448637,-84.230462
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,,40946.0,,2024-01-10,278000.0,1865.0,1.0,,single_family,1977.0,,False,False,,25100.0,6570263286,299900.0,2958385623,2023-08-04T18:39:06.000000Z,6325 Thomasville Rd,Tallahassee,FL,,Leon,32312,30.554549,-84.221002
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,22651.0,,2024-01-10,236000.0,2590.0,1.0,,single_family,1970.0,,False,False,,10000.0,6378704970,240000.0,2958073047,2023-07-27T00:48:12.000000Z,502 Dupont Dr,Tallahassee,FL,,Leon,32305,30.409578,-84.290225
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,2.0,10890.0,,2024-01-10,415000.0,2123.0,1.0,,single_family,2002.0,,False,False,,10000.0,5975891405,420000.0,2961300926,2023-11-02T18:39:17.000000Z,5707 Sioux Dr,Tallahassee,FL,,Leon,32317,30.447193,-84.1808
"100% Real Estate, Inc.",Office,2.0,,,2.0,,3.0,,44867.0,,2024-01-10,112000.0,1155.0,2.0,,mobile,2019.0,,,False,,,6099173135,114900.0,2961767459,2023-11-17T02:23:55.000000Z,9072 Hardwood Ln,Tallahassee,FL,,Leon,32311,30.381459,-84.122079
Coldwell Banker Hartung,Office,3.0,,,3.0,,4.0,2.0,28750.0,,2024-01-10,559900.0,2142.0,1.0,,single_family,2016.0,,,False,,,5345433617,559900.0,2962014539,2023-11-28T21:18:30.000000Z,7273 White Clover Ct,Tallahassee,FL,,Leon,32311,30.408676,-84.15298
Superior Realty Group Llc,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-09,234900.0,1248.0,1.0,,single_family,1991.0,,False,False,,14100.0,5196961029,234900.0,2961633071,2023-11-14T18:03:42.000000Z,3158 Huttersfield Cir,Tallahassee,FL,,Leon,32303,30.484817,-84.335789
Southern Oaks Real Estate,Office,2.0,,,2.0,,3.0,,32670.0,,2024-01-08,50000.0,1012.0,2.0,,mobile,1992.0,,,False,,,5634724055,72500.0,2961732574,2023-11-16T14:44:30.000000Z,8324 Lesley St,Tallahassee,FL,,Leon,32305,30.329209,-84.297302
Lastowski Realty & Prop. Ser.,Office,2.0,,,1.0,1.0,2.0,,,,2024-01-12,200000.0,1024.0,2.0,condo,condos,1967.0,,,False,,,6512480131,215000.0,2962109985,2023-12-01T15:32:49.000000Z,710 N Gadsden St,Tallahassee,FL,,Leon,32303,30.449312,-84.278765
Xcellence Realty,Office,3.0,,,2.0,1.0,3.0,,3920.0,,2024-01-12,284900.0,1792.0,2.0,townhouse,townhomes,1982.0,,,False,,,6066017818,299000.0,2962363183,2023-12-09T19:47:39.000000Z,1218 Terrace St,Tallahassee,FL,,Leon,32303,30.456138,-84.270022
"Mattox Realty, Inc",Office,2.0,,,2.0,,2.0,,10454.0,,2024-01-12,415000.0,1296.0,2.0,,single_family,1955.0,,,False,,,6513905808,415000.0,2961379699,2023-11-05T21:19:21.000000Z,24248 Lanier St,Tallahassee,FL,,Leon,32310,30.400488,-84.627507
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,6098.0,,2024-01-12,211000.0,1054.0,1.0,,single_family,1994.0,,,False,,,5790648397,225000.0,2962363787,2023-12-09T20:18:05.000000Z,1427 Idlewild Dr,Tallahassee,FL,,Leon,32311,30.425036,-84.216041
Broger Real Estate Services,Office,2.0,,,2.0,,3.0,2.0,41382.0,,2024-01-12,194628.0,1222.0,1.0,,single_family,1997.0,,,False,,,6592350617,183000.0,2962530410,2023-12-13T23:09:04.000000Z,8737 Celia Rd,Tallahassee,FL,,Leon,32305,30.322251,-84.278394
The Naumann Group Real Estate,Office,2.0,,,2.0,,4.0,2.0,23958.0,,2024-01-12,520000.0,2584.0,1.0,,single_family,1988.0,,,False,,,5473936524,520000.0,2962087042,2023-11-30T20:18:18.000000Z,3236 Shamrock St E,Tallahassee,FL,,Leon,32309,30.520298,-84.202594
Coldwell Banker Hartung,Office,2.0,,,2.0,,2.0,,55757.0,,2024-01-12,68000.0,1116.0,1.0,,single_family,1963.0,,False,False,,16500.0,6143221479,81500.0,2959243932,2023-08-31T14:48:13.000000Z,9323 Elgin Rd,Tallahassee,FL,,Leon,32305,30.311628,-84.254099
Picht & Sons Real Estate,Office,2.0,,,2.0,,2.0,,3485.0,,2024-01-12,145000.0,928.0,2.0,townhouse,townhomes,1984.0,,,False,,,5493415239,135000.0,2962499566,2023-12-12T23:45:20.000000Z,1145 Ocala Rd,Tallahassee,FL,,Leon,32304,30.454119,-84.316705
Joe Manausa Real Estate,Office,2.0,,,2.0,,3.0,2.0,4792.0,,2024-01-12,350000.0,1648.0,1.0,townhouse,townhomes,2001.0,,,False,,,6409080870,335000.0,2962314046,2023-12-07T21:06:18.000000Z,1047 Kingdom Dr,Tallahassee,FL,,Leon,32311,30.436991,-84.199628
"Armor Realty Of Tallahassee, Inc",Office,3.0,,,2.0,1.0,3.0,2.0,3485.0,,2024-01-12,460000.0,1768.0,2.0,,single_family,2019.0,,,False,,,6947927166,470000.0,2962327985,2023-12-08T13:14:55.000000Z,405 Glenview Dr,Tallahassee,FL,,Leon,32303,30.464863,-84.276673
Keller Williams Town & Country,Office,3.0,,,2.0,1.0,3.0,2.0,96268.0,,2024-01-12,570000.0,2667.0,1.0,,single_family,1999.0,,False,False,,25100.0,6751636628,599900.0,2960878680,2023-10-26T01:27:33.000000Z,9393 Wintercreek Ct,Tallahassee,FL,,Leon,32309,30.5726,-84.120944
The Naumann Group Real Estate,Office,2.0,,,2.0,,4.0,2.0,6098.0,,2024-01-12,425000.0,1893.0,1.0,,single_family,1995.0,,,False,,,6669577022,435000.0,2961966323,2023-11-26T14:00:11.000000Z,2959 Paddington Dr,Tallahassee,FL,,Leon,32309,30.541008,-84.219626
Eden & Company,Office,2.0,,,2.0,,2.0,,1307.0,,2024-01-12,244500.0,1174.0,1.0,townhouse,townhomes,1991.0,,,False,,,6733823507,249500.0,2962499565,2023-12-12T23:45:20.000000Z,4434 Stratfordshire Ct,Tallahassee,FL,,Leon,32309,30.534245,-84.217563
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,2.0,6098.0,,2024-01-12,312000.0,1624.0,1.0,,single_family,1998.0,,,False,,,6455260587,325000.0,2961885214,2023-11-21T13:29:53.000000Z,1775 Newman Ln,Tallahassee,FL,,Leon,32312,30.597784,-84.246864
"Armor Realty Of Tallahassee, Inc",Office,2.0,,,2.0,,3.0,2.0,19166.0,,2024-01-12,169500.0,1512.0,1.0,,single_family,1977.0,,False,False,,10000.0,5520668016,190000.0,2962087136,2023-11-30T20:20:50.000000Z,3213 Storrington Dr,Tallahassee,FL,,Leon,32309,30.525512,-84.197175
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-12,297000.0,1411.0,1.0,,single_family,2001.0,,False,False,,10000.0,6437216656,300000.0,2957402273,2023-07-06T04:33:51.000000Z,3304 Dartmouth Dr,Tallahassee,FL,,Leon,32317,30.457692,-84.217611
The Brokerage,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-12,299000.0,1706.0,1.0,,single_family,2006.0,,,False,,,5834621017,299000.0,2962271828,2023-12-06T18:36:18.000000Z,5560 Hampton Hill Cir,Tallahassee,FL,,Leon,32311,30.423306,-84.182221
"Frog Real Estate Company, LLC",Office,2.0,,,2.0,,4.0,,5227.0,,2024-01-12,59000.0,1088.0,1.0,,single_family,1960.0,,False,False,,1000.0,6212685196,64000.0,2956506798,2023-06-08T00:17:28.000000Z,1422 George Calvin Bess Jr Way,Tallahassee,FL,,Leon,32310,30.429112,-84.296049
Thompson Real Estate Company,Office,1.0,,,1.0,,3.0,,7841.0,,2024-01-12,79000.0,850.0,1.0,,single_family,1958.0,,,False,,,6276484489,79000.0,2962315834,2023-12-07T21:53:44.000000Z,2056 Hillsborough St,Tallahassee,FL,,Leon,32310,30.421217,-84.306317
"Hill Spooner & Elliott, Inc.",Office,4.0,,,4.0,,4.0,2.0,27443.0,,2024-01-12,660000.0,3281.0,1.0,,single_family,2004.0,,,False,,,5676878928,689000.0,2960584752,2023-10-16T16:09:31.000000Z,3919 Monterey Pines Trl,Tallahassee,FL,,Leon,32309,30.552091,-84.212326
"Armor Realty Of Tallahassee, Inc",Office,4.0,,,3.0,1.0,5.0,2.0,9148.0,,2024-01-12,570000.0,2966.0,2.0,,single_family,2007.0,,,False,,,5591530349,599900.0,2961975165,2023-11-27T13:35:58.000000Z,3166 Coneflower Dr,Tallahassee,FL,,Leon,32311,30.411116,-84.219585
beycome.com,Office,0.0,,,,,,,69696.0,,2024-01-12,60000.0,,,,land,,,False,False,,8000.0,5754537698,72000.0,2961695897,2023-11-15T16:21:28.000000Z,619 Earls Slough Ct,Tallahassee,FL,,Leon,32312,30.629042,-84.286999
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,10890.0,,2024-01-11,228000.0,1250.0,2.0,,single_family,1976.0,,,False,,,6932637311,225000.0,2962313741,2023-12-07T20:57:20.000000Z,4801 Easy St,Tallahassee,FL,,Leon,32303,30.517778,-84.358103
Coldwell Banker Hartung,Office,0.0,,,,,,,221285.0,,2024-01-11,55000.0,,,,land,,,,False,,,6179294911,58000.0,2963107454,2024-01-11T14:20:54.000000Z,11408 Regiment Loop,Tallahassee,FL,,Leon,32305,30.292709,-84.15275
The Elite Group,Office,3.0,,,3.0,,3.0,,871.0,,2024-01-11,151000.0,1209.0,2.0,condo,condos,2004.0,,False,False,,1000.0,5830508890,153900.0,2961419614,2023-11-07T15:33:14.000000Z,2738 W Tharpe St Apt 505,Tallahassee,FL,,Leon,32303,30.467177,-84.340484
Hum Real Estate,Office,3.0,,,3.0,,4.0,2.0,35284.0,,2024-01-11,430000.0,2440.0,2.0,,single_family,1981.0,,,False,,,5037801826,440000.0,2961951061,2023-11-24T19:12:13.000000Z,744 Litchfield Rd,Tallahassee,FL,,Leon,32312,30.493363,-84.300154
"EXP Realty, LLC",Office,2.0,,,2.0,,3.0,,12632.0,,2024-01-11,172000.0,1137.0,1.0,,single_family,1999.0,,False,False,,9900.0,6403304649,172000.0,2959604699,2023-09-12T20:37:04.000000Z,1518 Country Ln,Tallahassee,FL,,Leon,32304,30.458325,-84.343599
Realty One Group Next Gen,Office,3.0,,,2.0,1.0,4.0,,10019.0,,2024-01-11,185000.0,1512.0,1.0,,single_family,1971.0,,False,False,,15000.0,5314315119,210000.0,2959691446,2023-09-15T02:27:03.000000Z,2328 Skyland Dr,Tallahassee,FL,,Leon,32303,30.472643,-84.323278
Advanced Realty Group II,Office,2.0,,,2.0,,3.0,,12197.0,,2024-01-11,295000.0,1452.0,1.0,,single_family,1966.0,,,False,,,5840435696,295000.0,2959510838,2023-09-08T20:56:42.000000Z,1107 Richview Rd,Tallahassee,FL,,Leon,32301,30.432998,-84.232142
"Frog Real Estate Company, LLC",Office,2.0,,,2.0,,3.0,2.0,11326.0,,2024-01-11,282000.0,1553.0,1.0,,single_family,1994.0,,,False,,,6022826591,295000.0,2961945964,2023-11-24T12:41:54.000000Z,867 Violet St,Tallahassee,FL,,Leon,32308,30.455982,-84.233526
"Hill Spooner & Elliott, Inc.",Office,3.0,,,2.0,1.0,3.0,2.0,8276.0,,2024-01-11,472500.0,2045.0,1.0,,single_family,2005.0,,,False,,,6369349598,490000.0,2960938245,2023-10-27T17:52:48.000000Z,2557 Twain Dr,Tallahassee,FL,,Leon,32311,30.407421,-84.220108
Bravo International Real Estate Llc,Office,1.0,,,1.0,,1.0,,871.0,,2024-01-10,68000.0,710.0,,condo,condos,1967.0,,,False,,,5654985447,89000.0,2961817372,2023-11-18T15:26:23.000000Z,2020 Continental Ave Apt 132,Tallahassee,FL,,Leon,32304,30.456399,-84.315908
The Nova Group Realty,Office,3.0,,,2.0,1.0,4.0,3.0,23087.0,,2024-01-10,810000.0,2670.0,1.0,,single_family,2020.0,,,False,,,9922392645,815000.0,2962195433,2023-12-03T02:16:23.000000Z,3106 Persimmon Dr,Tallahassee,FL,,Leon,32312,30.553851,-84.225427
Red Bird Realty Of Greater Tal,Office,2.0,,,2.0,,2.0,,7841.0,,2024-01-10,194900.0,960.0,2.0,townhouse,townhomes,1988.0,,,False,,,6106004175,194900.0,2962010115,2023-11-28T19:12:05.000000Z,252 E Whetherbine Way,Tallahassee,FL,,Leon,32301,30.448637,-84.230462
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,,40946.0,,2024-01-10,278000.0,1865.0,1.0,,single_family,1977.0,,False,False,,25100.0,6570263286,299900.0,2958385623,2023-08-04T18:39:06.000000Z,6325 Thomasville Rd,Tallahassee,FL,,Leon,32312,30.554549,-84.221002
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,22651.0,,2024-01-10,236000.0,2590.0,1.0,,single_family,1970.0,,False,False,,10000.0,6378704970,240000.0,2958073047,2023-07-27T00:48:12.000000Z,502 Dupont Dr,Tallahassee,FL,,Leon,32305,30.409578,-84.290225
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,2.0,10890.0,,2024-01-10,415000.0,2123.0,1.0,,single_family,2002.0,,False,False,,10000.0,5975891405,420000.0,2961300926,2023-11-02T18:39:17.000000Z,5707 Sioux Dr,Tallahassee,FL,,Leon,32317,30.447193,-84.1808
"100% Real Estate, Inc.",Office,2.0,,,2.0,,3.0,,44867.0,,2024-01-10,112000.0,1155.0,2.0,,mobile,2019.0,,,False,,,6099173135,114900.0,2961767459,2023-11-17T02:23:55.000000Z,9072 Hardwood Ln,Tallahassee,FL,,Leon,32311,30.381459,-84.122079
Coldwell Banker Hartung,Office,3.0,,,3.0,,4.0,2.0,28750.0,,2024-01-10,559900.0,2142.0,1.0,,single_family,2016.0,,,False,,,5345433617,559900.0,2962014539,2023-11-28T21:18:30.000000Z,7273 White Clover Ct,Tallahassee,FL,,Leon,32311,30.408676,-84.15298
Superior Realty Group Llc,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-09,234900.0,1248.0,1.0,,single_family,1991.0,,False,False,,14100.0,5196961029,234900.0,2961633071,2023-11-14T18:03:42.000000Z,3158 Huttersfield Cir,Tallahassee,FL,,Leon,32303,30.484817,-84.335789
Southern Oaks Real Estate,Office,2.0,,,2.0,,3.0,,32670.0,,2024-01-08,50000.0,1012.0,2.0,,mobile,1992.0,,,False,,,5634724055,72500.0,2961732574,2023-11-16T14:44:30.000000Z,8324 Lesley St,Tallahassee,FL,,Leon,32305,30.329209,-84.297302
Advanced Realty Group II,Office,8.0,,,4.0,4.0,8.0,,,,2024-01-08,425000.0,4290.0,2.0,,multi_family,1970.0,,,False,,,9389754366,449000.0,2961919909,2023-11-22T16:41:35.000000Z,1748 Hartsfield Rd,Tallahassee,FL,,Leon,32303,30.47308,-84.314774
Lastowski Realty & Prop. Ser.,Office,2.0,,,1.0,1.0,2.0,,,,2024-01-12,200000.0,1024.0,2.0,condo,condos,1967.0,,,False,,,6512480131,215000.0,2962109985,2023-12-01T15:32:49.000000Z,710 N Gadsden St,Tallahassee,FL,,Leon,32303,30.449312,-84.278765
Xcellence Realty,Office,3.0,,,2.0,1.0,3.0,,3920.0,,2024-01-12,284900.0,1792.0,2.0,townhouse,townhomes,1982.0,,,False,,,6066017818,299000.0,2962363183,2023-12-09T19:47:39.000000Z,1218 Terrace St,Tallahassee,FL,,Leon,32303,30.456138,-84.270022
"Mattox Realty, Inc",Office,2.0,,,2.0,,2.0,,10454.0,,2024-01-12,415000.0,1296.0,2.0,,single_family,1955.0,,,False,,,6513905808,415000.0,2961379699,2023-11-05T21:19:21.000000Z,24248 Lanier St,Tallahassee,FL,,Leon,32310,30.400488,-84.627507
Broger Real Estate Services,Office,2.0,,,2.0,,3.0,2.0,41382.0,,2024-01-12,194628.0,1222.0,1.0,,single_family,1997.0,,,False,,,6592350617,183000.0,2962530410,2023-12-13T23:09:04.000000Z,8737 Celia Rd,Tallahassee,FL,,Leon,32305,30.322251,-84.278394
The Naumann Group Real Estate,Office,2.0,,,2.0,,4.0,2.0,23958.0,,2024-01-12,520000.0,2584.0,1.0,,single_family,1988.0,,,False,,,5473936524,520000.0,2962087042,2023-11-30T20:18:18.000000Z,3236 Shamrock St E,Tallahassee,FL,,Leon,32309,30.520298,-84.202594
Coldwell Banker Hartung,Office,2.0,,,2.0,,2.0,,55757.0,,2024-01-12,68000.0,1116.0,1.0,,single_family,1963.0,,False,False,,16500.0,6143221479,81500.0,2959243932,2023-08-31T14:48:13.000000Z,9323 Elgin Rd,Tallahassee,FL,,Leon,32305,30.311628,-84.254099
Picht & Sons Real Estate,Office,2.0,,,2.0,,2.0,,3485.0,,2024-01-12,145000.0,928.0,2.0,townhouse,townhomes,1984.0,,,False,,,5493415239,135000.0,2962499566,2023-12-12T23:45:20.000000Z,1145 Ocala Rd,Tallahassee,FL,,Leon,32304,30.454119,-84.316705
Joe Manausa Real Estate,Office,2.0,,,2.0,,3.0,2.0,4792.0,,2024-01-12,350000.0,1648.0,1.0,townhouse,townhomes,2001.0,,,False,,,6409080870,335000.0,2962314046,2023-12-07T21:06:18.000000Z,1047 Kingdom Dr,Tallahassee,FL,,Leon,32311,30.436991,-84.199628
"Armor Realty Of Tallahassee, Inc",Office,2.0,,,2.0,,3.0,2.0,19166.0,,2024-01-12,169500.0,1512.0,1.0,,single_family,1977.0,,False,False,,10000.0,5520668016,190000.0,2962087136,2023-11-30T20:20:50.000000Z,3213 Storrington Dr,Tallahassee,FL,,Leon,32309,30.525512,-84.197175
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-12,297000.0,1411.0,1.0,,single_family,2001.0,,False,False,,10000.0,6437216656,300000.0,2957402273,2023-07-06T04:33:51.000000Z,3304 Dartmouth Dr,Tallahassee,FL,,Leon,32317,30.457692,-84.217611
Keller Williams Town & Country,Office,3.0,,,2.0,1.0,3.0,2.0,96268.0,,2024-01-12,570000.0,2667.0,1.0,,single_family,1999.0,,False,False,,25100.0,6751636628,599900.0,2960878680,2023-10-26T01:27:33.000000Z,9393 Wintercreek Ct,Tallahassee,FL,,Leon,32309,30.5726,-84.120944
"Armor Realty Of Tallahassee, Inc",Office,3.0,,,2.0,1.0,3.0,2.0,3485.0,,2024-01-12,460000.0,1768.0,2.0,,single_family,2019.0,,,False,,,6947927166,470000.0,2962327985,2023-12-08T13:14:55.000000Z,405 Glenview Dr,Tallahassee,FL,,Leon,32303,30.464863,-84.276673
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,2.0,6098.0,,2024-01-12,312000.0,1624.0,1.0,,single_family,1998.0,,,False,,,6455260587,325000.0,2961885214,2023-11-21T13:29:53.000000Z,1775 Newman Ln,Tallahassee,FL,,Leon,32312,30.597784,-84.246864
The Naumann Group Real Estate,Office,2.0,,,2.0,,4.0,2.0,6098.0,,2024-01-12,425000.0,1893.0,1.0,,single_family,1995.0,,,False,,,6669577022,435000.0,2961966323,2023-11-26T14:00:11.000000Z,2959 Paddington Dr,Tallahassee,FL,,Leon,32309,30.541008,-84.219626
Eden & Company,Office,2.0,,,2.0,,2.0,,1307.0,,2024-01-12,244500.0,1174.0,1.0,townhouse,townhomes,1991.0,,,False,,,6733823507,249500.0,2962499565,2023-12-12T23:45:20.000000Z,4434 Stratfordshire Ct,Tallahassee,FL,,Leon,32309,30.534245,-84.217563
The Brokerage,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-12,299000.0,1706.0,1.0,,single_family,2006.0,,,False,,,5834621017,299000.0,2962271828,2023-12-06T18:36:18.000000Z,5560 Hampton Hill Cir,Tallahassee,FL,,Leon,32311,30.423306,-84.182221
"Frog Real Estate Company, LLC",Office,2.0,,,2.0,,4.0,,5227.0,,2024-01-12,59000.0,1088.0,1.0,,single_family,1960.0,,False,False,,1000.0,6212685196,64000.0,2956506798,2023-06-08T00:17:28.000000Z,1422 George Calvin Bess Jr Way,Tallahassee,FL,,Leon,32310,30.429112,-84.296049
Thompson Real Estate Company,Office,1.0,,,1.0,,3.0,,7841.0,,2024-01-12,79000.0,850.0,1.0,,single_family,1958.0,,,False,,,6276484489,79000.0,2962315834,2023-12-07T21:53:44.000000Z,2056 Hillsborough St,Tallahassee,FL,,Leon,32310,30.421217,-84.306317
"Hill Spooner & Elliott, Inc.",Office,4.0,,,4.0,,4.0,2.0,27443.0,,2024-01-12,660000.0,3281.0,1.0,,single_family,2004.0,,,False,,,5676878928,689000.0,2960584752,2023-10-16T16:09:31.000000Z,3919 Monterey Pines Trl,Tallahassee,FL,,Leon,32309,30.552091,-84.212326
"Armor Realty Of Tallahassee, Inc",Office,4.0,,,3.0,1.0,5.0,2.0,9148.0,,2024-01-12,570000.0,2966.0,2.0,,single_family,2007.0,,,False,,,5591530349,599900.0,2961975165,2023-11-27T13:35:58.000000Z,3166 Coneflower Dr,Tallahassee,FL,,Leon,32311,30.411116,-84.219585
beycome.com,Office,0.0,,,,,,,69696.0,,2024-01-12,60000.0,,,,land,,,False,False,,8000.0,5754537698,72000.0,2961695897,2023-11-15T16:21:28.000000Z,619 Earls Slough Ct,Tallahassee,FL,,Leon,32312,30.629042,-84.286999
Coldwell Banker Hartung,Office,0.0,,,,,,,221285.0,,2024-01-11,55000.0,,,,land,,,,False,,,6179294911,58000.0,2963107454,2024-01-11T14:20:54.000000Z,11408 Regiment Loop,Tallahassee,FL,,Leon,32305,30.292709,-84.15275
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,10890.0,,2024-01-11,228000.0,1250.0,2.0,,single_family,1976.0,,,False,,,6932637311,225000.0,2962313741,2023-12-07T20:57:20.000000Z,4801 Easy St,Tallahassee,FL,,Leon,32303,30.517778,-84.358103
The Elite Group,Office,3.0,,,3.0,,3.0,,871.0,,2024-01-11,151000.0,1209.0,2.0,condo,condos,2004.0,,False,False,,1000.0,5830508890,153900.0,2961419614,2023-11-07T15:33:14.000000Z,2738 W Tharpe St Apt 505,Tallahassee,FL,,Leon,32303,30.467177,-84.340484
Hum Real Estate,Office,3.0,,,3.0,,4.0,2.0,35284.0,,2024-01-11,430000.0,2440.0,2.0,,single_family,1981.0,,,False,,,5037801826,440000.0,2961951061,2023-11-24T19:12:13.000000Z,744 Litchfield Rd,Tallahassee,FL,,Leon,32312,30.493363,-84.300154
"EXP Realty, LLC",Office,2.0,,,2.0,,3.0,,12632.0,,2024-01-11,172000.0,1137.0,1.0,,single_family,1999.0,,False,False,,9900.0,6403304649,172000.0,2959604699,2023-09-12T20:37:04.000000Z,1518 Country Ln,Tallahassee,FL,,Leon,32304,30.458325,-84.343599
Realty One Group Next Gen,Office,3.0,,,2.0,1.0,4.0,,10019.0,,2024-01-11,185000.0,1512.0,1.0,,single_family,1971.0,,False,False,,15000.0,5314315119,210000.0,2959691446,2023-09-15T02:27:03.000000Z,2328 Skyland Dr,Tallahassee,FL,,Leon,32303,30.472643,-84.323278
Advanced Realty Group II,Office,2.0,,,2.0,,3.0,,12197.0,,2024-01-11,295000.0,1452.0,1.0,,single_family,1966.0,,,False,,,5840435696,295000.0,2959510838,2023-09-08T20:56:42.000000Z,1107 Richview Rd,Tallahassee,FL,,Leon,32301,30.432998,-84.232142
"Frog Real Estate Company, LLC",Office,2.0,,,2.0,,3.0,2.0,11326.0,,2024-01-11,282000.0,1553.0,1.0,,single_family,1994.0,,,False,,,6022826591,295000.0,2961945964,2023-11-24T12:41:54.000000Z,867 Violet St,Tallahassee,FL,,Leon,32308,30.455982,-84.233526
"Hill Spooner & Elliott, Inc.",Office,3.0,,,2.0,1.0,3.0,2.0,8276.0,,2024-01-11,472500.0,2045.0,1.0,,single_family,2005.0,,,False,,,6369349598,490000.0,2960938245,2023-10-27T17:52:48.000000Z,2557 Twain Dr,Tallahassee,FL,,Leon,32311,30.407421,-84.220108
Bravo International Real Estate Llc,Office,1.0,,,1.0,,1.0,,871.0,,2024-01-10,68000.0,710.0,,condo,condos,1967.0,,,False,,,5654985447,89000.0,2961817372,2023-11-18T15:26:23.000000Z,2020 Continental Ave Apt 132,Tallahassee,FL,,Leon,32304,30.456399,-84.315908
The Nova Group Realty,Office,3.0,,,2.0,1.0,4.0,3.0,23087.0,,2024-01-10,810000.0,2670.0,1.0,,single_family,2020.0,,,False,,,9922392645,815000.0,2962195433,2023-12-03T02:16:23.000000Z,3106 Persimmon Dr,Tallahassee,FL,,Leon,32312,30.553851,-84.225427
Red Bird Realty Of Greater Tal,Office,2.0,,,2.0,,2.0,,7841.0,,2024-01-10,194900.0,960.0,2.0,townhouse,townhomes,1988.0,,,False,,,6106004175,194900.0,2962010115,2023-11-28T19:12:05.000000Z,252 E Whetherbine Way,Tallahassee,FL,,Leon,32301,30.448637,-84.230462
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,,40946.0,,2024-01-10,278000.0,1865.0,1.0,,single_family,1977.0,,False,False,,25100.0,6570263286,299900.0,2958385623,2023-08-04T18:39:06.000000Z,6325 Thomasville Rd,Tallahassee,FL,,Leon,32312,30.554549,-84.221002
Keller Williams Town & Country,Office,2.0,,,2.0,,3.0,,22651.0,,2024-01-10,236000.0,2590.0,1.0,,single_family,1970.0,,False,False,,10000.0,6378704970,240000.0,2958073047,2023-07-27T00:48:12.000000Z,502 Dupont Dr,Tallahassee,FL,,Leon,32305,30.409578,-84.290225
Coldwell Banker Hartung,Office,2.0,,,2.0,,4.0,2.0,10890.0,,2024-01-10,415000.0,2123.0,1.0,,single_family,2002.0,,False,False,,10000.0,5975891405,420000.0,2961300926,2023-11-02T18:39:17.000000Z,5707 Sioux Dr,Tallahassee,FL,,Leon,32317,30.447193,-84.1808
"100% Real Estate, Inc.",Office,2.0,,,2.0,,3.0,,44867.0,,2024-01-10,112000.0,1155.0,2.0,,mobile,2019.0,,,False,,,6099173135,114900.0,2961767459,2023-11-17T02:23:55.000000Z,9072 Hardwood Ln,Tallahassee,FL,,Leon,32311,30.381459,-84.122079
Coldwell Banker Hartung,Office,3.0,,,3.0,,4.0,2.0,28750.0,,2024-01-10,559900.0,2142.0,1.0,,single_family,2016.0,,,False,,,5345433617,559900.0,2962014539,2023-11-28T21:18:30.000000Z,7273 White Clover Ct,Tallahassee,FL,,Leon,32311,30.408676,-84.15298
Superior Realty Group Llc,Office,2.0,,,2.0,,3.0,2.0,6970.0,,2024-01-09,234900.0,1248.0,1.0,,single_family,1991.0,,False,False,,14100.0,5196961029,234900.0,2961633071,2023-11-14T18:03:42.000000Z,3158 Huttersfield Cir,Tallahassee,FL,,Leon,32303,30.484817,-84.335789
